year,month,Company A,Company B,Company C,Company N
1990,Jan,10,20,15,15
1990,Feb,11,21,14,14
1990,Mar,13,7,8,8
1990,April,412,22,12,12
1990,May,15,18,12,12
1990,June,165,5,18,18
1990,July,13,1512,12,12
1990,Aug,12,16,14,14
1990,Sep,13,16,8,8
1990,Oct,12,19,22,22
1990,Nov,15,18,12,12
1990,Dec,18,13,13,13
1991,Jan,15,18,12,12
1991,Feb,18,13,13,13
1991,Mar,12,15,14,14
1991,April,6,14,12,12
1991,May,78,13,16,16
1991,June,6,13,14,14
1991,July,13,13,23,23
1991,Aug,57,10,21,21
1991,Sep,22,9,22,22
1991,Oct,24,42,20,20
1991,Nov,12,15,14,14
1991,Dec,15,18,12,12
1992,Jan,21,16,14,14
1992,Feb,10,26,13,13
1992,Mar,9,26,11,11
1992,April,9,26,23,23
1992,May,9,26,10,10
1992,June,9,26,17,17
1992,July,9,26,15,15
1992,Aug,9,26,9,9
1992,Sep,15,26,26,26
1992,Oct,18,26,19,19
1992,Nov,19,26,18,18
1992,Dec,20,26,21,21
1993,Jan,21,26,10,10
1993,Feb,13,26,9,9
1993,Mar,13,26,14,14
1993,April,13,26,10,10
1993,May,13,26,11,11
1993,June,13,26,23,23
1993,July,13,26,12,12
1993,Aug,17,26,9,9
1993,Sep,15,9,42,42
1993,Oct,16,9,9,9
1993,Nov,15,19,26,26
1993,Dec,18,20,19,19
